Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Swim Cadence,Max Swim Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Total Routes,Climb Time,Max Ascent,Sends,Total Ascent,Falls,Total Rest,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-03-14 07:44:29,false,"Amherst Running","1.79","118","00:11:39","157","177","2.5","152","159","6:30","5:57","22","4","1.00","9.8","9.7","294","6:25","254","0.0","249","331","--","--","--","1,782","--","--","--","--","--","--","--","--","--","'-4","No","00:01:11.0","2","--","--","--","--","--","--","--","--","00:11:33","00:13:57","48","64"
Yoga,2026-03-12 17:46:16,false,"Yoga","--","397","01:25:52","118","157","2.4","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","1","--","--","--","--","--","--","--","'-6","No","01:25:52","1","17","8","27","23","70","93","85","100","01:25:52","01:25:52","--","--"
Running,2026-03-12 07:03:15,false,"Amherst Running","5.04","328","00:30:42","169","183","3.7","157","200","6:05","4:33","28","27","1.04","9.4","9.8","284","6:04","258","0.0","256","380","--","--","--","4,842","--","--","--","--","--","--","--","--","--","'-9","No","00:01:10.1","4","--","--","--","--","--","--","--","--","00:30:32","00:33:44","55","80"
Yoga,2026-03-11 17:49:10,false,"Yoga","--","400","01:18:21","122","163","2.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","3","--","--","--","--","--","--","--","'-6","No","01:18:21","1","15","8","25","'-21","39","18","84","100","01:18:21","01:18:21","--","--"
Indoor Climbing,2026-03-10 12:28:31,false,"Indoor Climbing","--","181","00:24:59","134","167","2.2","--","--","--","--","7","--","--","--","--","--","--","--","0.0","--","--","--","--","--","494","--","--","1","17:32","7","1","7","--","7:26","'-3","No","00:24:59","1","--","--","--","--","--","--","--","--","00:00:00","00:26:44","89","94"
Yoga,2026-03-09 17:48:35,false,"Yoga","--","299","01:04:17","118","149","1.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","2","--","--","--","--","--","--","--","'-4","No","01:04:17","1","16","9","24","43","56","99","93","100","01:04:17","01:04:17","--","--"
Running,2026-03-09 07:20:05,false,"Amherst Running","3.71","212","00:21:14","153","177","3.3","159","176","5:43","4:19","30","30","1.10","9.2","10.0","276","5:40","271","0.0","266","391","--","--","--","3,394","--","--","--","--","--","--","--","--","--","'-7","No","00:02:22.3","3","--","--","--","--","--","--","--","--","00:21:01","00:21:44","55","73"
Resort Snowboarding,2026-03-07 14:48:35,false,"Magic Mountain Snowboard","4.68","330","00:58:11","122","169","2.5","--","--","8.4","25.8","830","848","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","'-5","No","00:26:21","2","--","--","--","--","--","--","--","--","00:52:41","00:58:11","443","871"
Resort Snowboarding,2026-03-07 10:48:31,false,"Magic Mountain Snowboard","12.51","1,105","03:49:34","124","173","3.1","--","--","4.9","32.0","1,838","1,823","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","'-21","No","00:10:20","6","--","--","--","--","--","--","--","--","02:37:06","03:49:34","429","872"
Running,2026-03-05 07:09:30,false,"Amherst Running","3.96","247","00:23:54","167","197","3.7","156","175","6:02","4:37","36","32","1.05","9.4","9.8","281","6:01","257","0.0","251","370","--","--","--","3,784","--","--","--","--","--","--","--","--","--","'-9","No","00:03:46.4","3","--","--","--","--","--","--","--","--","00:23:33","00:29:59","53","74"
Running,2026-03-03 06:23:14,false,"Amherst Running","4.83","316","00:29:35","173","190","4.1","156","165","6:07","5:05","45","38","1.04","9.6","9.9","286","6:06","255","0.0","252","352","--","--","--","4,608","--","--","--","--","--","--","--","--","--","'-10","No","00:00:01.7","4","--","--","--","--","--","--","--","--","00:29:30","00:31:06","50","79"
Running,2026-03-01 10:03:37,false,"Amherst Running","1.71","95","00:09:24.1","159","183","2.7","158","187","5:30","3:29","19","8","1.13","9.0","10.1","270","5:26","289","0.0","285","440","--","--","--","1,490","--","--","--","--","--","--","--","--","--","'-2","No","00:00:27.4","2","--","--","--","--","--","--","--","--","00:09:19","00:09:36.3","52","68"
Resort Snowboarding,2026-02-28 11:02:31,false,"Berkshire East Snowboard","17.92","1,783","07:19:20","117","174","3.1","--","--","3.0","29.3","2,559","2,558","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","'-19","No","00:01:52.9","12","--","--","--","--","--","--","--","--","03:09:53","07:19:20","191","471"
Running,2026-02-27 07:25:54,false,"Amherst Running","2.26","144","00:13:28","171","185","3.2","159","170","5:58","4:44","17","17","1.05","9.3","9.7","277","5:47","255","0.0","251","349","--","--","--","2,156","--","--","--","--","--","--","--","--","--","'-2","No","00:03:32.7","2","--","--","--","--","--","--","--","--","00:13:22","00:14:07","57","67"
Resort Snowboarding,2026-02-22 10:20:23,false,"Berkshire East Snowboard","20.48","1,636","06:07:53","120","173","3.2","--","--","4.0","32.7","3,015","3,637","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","'-27","No","00:10:41","12","--","--","--","--","--","--","--","--","03:08:56","06:07:59","186","820"
Resort Snowboarding,2026-02-15 13:21:51,false,"Ski Butternut Snowboard","10.49","1,012","02:58:09","133","178","3.8","--","--","6.7","35.8","1,576","1,574","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","'-7","No","00:00:03.1","7","--","--","--","--","--","--","--","--","02:08:16","02:58:09","260","536"
HIIT,2026-02-09 18:01:37,false,"HIIT","0.00","409","00:58:47","140","175","3.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","14","7","1","--","--","--","--","--","--","--","'-7","No","00:58:47","1","--","--","--","--","--","--","--","--","00:58:47","00:58:47","--","--"
Resort Snowboarding,2026-02-07 10:32:46,false,"Burke Mountain Snowboard","13.67","1,027","04:09:25","112","173","2.5","--","--","4.0","28.0","2,689","2,321","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","'-3","No","00:18:31","6","--","--","--","--","--","--","--","--","02:34:22","04:26:25","372","1,002"
Resort Snowboarding,2026-01-28 12:03:29,false,"Loon Mountain Resort Snowboard","18.84","928","03:39:05","113","173","2.7","--","--","6.9","32.4","2,709","3,001","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","'-6","No","00:00:04.7","9","--","--","--","--","--","--","--","--","02:39:35","03:39:32","457","1,091"
Resort Snowboarding,2026-01-25 11:48:17,false,"Berkshire East Snowboard","9.71","861","02:34:42","134","168","3.4","--","--","4.2","28.2","1,142","1,157","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","'-13","No","00:28:45","4","--","--","--","--","--","--","--","--","01:37:49","02:34:42","189","487"
Indoor Climbing,2026-01-24 18:26:40,false,"Indoor Climbing","--","6","00:00:41.1","134","148","0.9","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","16","--","--","1","0:41","--","1","--","--","--","'-1","No","00:00:41.1","1","--","--","--","--","--","--","--","--","00:00:00","00:03:08.0","42","44"
